127.0.0.1 - - [15/Oct/2018:20:23:47 -0700] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:24:15 -0700] "GET /coursepractise/webapi/programs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:39:08 -0700] "GET /coursepractise/webapi/programs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:39:09 -0700] "GET /coursepractise/webapi/programs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:40:15 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:40:46 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:41:13 -0700] "PUT /coursepractise/webapi/programs/1 HTTP/1.1" 400 414
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:45:24 -0700] "GET /coursepractise/webapi/programs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:45:26 -0700] "GET /coursepractise/webapi/programs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:45:59 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:46:10 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:46:16 -0700] "PUT /coursepractise/webapi/programs/1 HTTP/1.1" 400 415
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:46:26 -0700] "POST /coursepractise/webapi/programs/1 HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:48:10 -0700] "POST /coursepractise/webapi/programs/1 HTTP/1.1" 405 1056
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:48:22 -0700] "POST /coursepractise/webapi/programs/1/course HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:48:24 -0700] "POST /coursepractise/webapi/programs/1/courses HTTP/1.1" 500 4161
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:48:52 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:48:59 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:49:11 -0700] "POST /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:50:24 -0700] "POST /coursepractise/webapi/allprograms HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:50:25 -0700] "POST /coursepractise/webapi/allprograms HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:50:30 -0700] "GET /coursepractise/webapi/allprograms HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:50:31 -0700] "GET /coursepractise/webapi/allprograms HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:50:42 -0700] "GET /coursepractise/webapi/programs/allprograms HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:55:22 -0700] "GET /coursepractise/webapi/programs/allprograms HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:55:35 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:20:55:50 -0700] "GET /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:11:44 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:12:05 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:12:10 -0700] "GET /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:12:32 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:13:02 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:13:03 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:13:04 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:13:07 -0700] "GET /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:13:09 -0700] "GET /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:14:01 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:14:02 -0700] "DELETE /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:15:38 -0700] "GET /coursepractise/webapi/programs?program=IS HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:15:47 -0700] "GET /coursepractise/webapi/programs/1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:15:51 -0700] "GET /coursepractise/webapi/programs/1/courses HTTP/1.1" 200 112
